feature,importance,std
chroma_cqt_min_02,0.0010310609860277099,0.0008248780833692435
chroma_stft_mean_11,0.001013657620254027,0.001460499915655325
chroma_cqt_kurtosis_03,0.001010620201215251,0.0013732963040970028
spectral_contrast_skew_07,0.0010046806595568226,0.00136673603839644
chroma_cqt_min_12,0.0009764894211105046,0.0014086092010258732
tonnetz_median_04,0.0009679211123607923,0.00045169020186472793
chroma_cens_median_07,0.0009661063016049243,0.0011540207181542793
chroma_cens_kurtosis_01,0.000958483292430773,0.00282239306741501
chroma_cens_mean_09,0.0009457237161341059,0.00042965611789855474
tonnetz_median_01,0.0009339142934669476,0.001160996468354916
spectral_bandwidth_max_01,0.0008797528658270881,0.0037838188255371816
chroma_cens_median_02,0.0008789068359658702,0.0014359421929418987
chroma_cens_kurtosis_04,0.0008779424348443476,0.0019810803805522573
chroma_cens_kurtosis_03,0.0008568655440711004,0.0006559803672759294
mfcc_std_14,0.0008532374409461252,0.0018447400006539705
chroma_cqt_kurtosis_04,0.0008509684929805583,0.0011058404469764611
chroma_stft_min_11,0.0008349222822575164,0.0024492157522947463
mfcc_skew_05,0.0008215508873952893,0.0012988876442404653
tonnetz_skew_02,0.0008036766282920992,0.0005256815631439298
chroma_cens_min_02,0.0008034001652443779,0.0007675919751903047
mfcc_min_09,0.0007863452139311667,0.001654139396620904
mfcc_kurtosis_08,0.0007279502050269837,0.0017342917076681905
chroma_stft_std_04,0.0007275329146715304,0.0020047094076083858
chroma_cqt_skew_12,0.0007107816819719781,0.0005323580907604109
chroma_cqt_kurtosis_09,0.0006866928178409059,0.00031703284288993214
chroma_stft_min_10,0.0006862298186891324,0.0007037011016956534
tonnetz_kurtosis_05,0.0006712584589351866,0.0014412722118029488
chroma_cqt_median_05,0.000663131802357636,0.0003015753333845511
chroma_cqt_kurtosis_07,0.0006594240327692901,0.0014428170073665847
tonnetz_skew_06,0.0006486644484378301,0.0006927479619104358
tonnetz_median_06,0.0006452202546293195,0.0014489808664570308
chroma_cens_std_02,0.0006392477020980003,0.0006565198752283688
chroma_cens_skew_04,0.0006329535565427258,0.001031334445782884
chroma_stft_kurtosis_07,0.0006260889639298772,0.0006845927726628454
spectral_contrast_kurtosis_06,0.0006159254671335102,0.0023913360905441273
chroma_stft_mean_05,0.0005888927686943102,0.000784627935555805
mfcc_max_18,0.0005739873980368293,0.0014096285219368874
mfcc_std_03,0.0005723961598946559,0.003246122524336883
spectral_centroid_std_01,0.0005611914881055391,0.0011650903308083735
chroma_cqt_kurtosis_01,0.0005237242874774728,0.001897836430588113
mfcc_median_06,0.000519085540802805,0.0013756378318726112
mfcc_max_03,0.0005127790307110803,0.0016927797336833794
chroma_cens_median_01,0.000511290567347672,0.0004160609502012056
mfcc_mean_18,0.0004969305054608131,0.003845976117296061
mfcc_kurtosis_16,0.0004946175051567525,0.0007795376754108727
mfcc_mean_03,0.00048222013680503383,0.0035488103568087695
chroma_cqt_kurtosis_05,0.00047961671511852487,0.0006440856641617844
chroma_cens_kurtosis_08,0.00046174258086761346,0.0010864549023156796
spectral_contrast_mean_03,0.0004559820480700305,0.0011653159056179594
chroma_cens_std_08,0.00044432830462532433,0.0005960352848441478
chroma_stft_min_02,0.0004429956342246244,0.00032426423863374856
chroma_cens_median_06,0.0004346491580756895,0.0010597583642629328
chroma_stft_kurtosis_03,0.00042144823401373823,0.0019477237521543379
chroma_stft_mean_07,0.0004175751939488381,0.00047528460641007035
spectral_bandwidth_mean_01,0.00041647640830229095,0.0006951225705523942
mfcc_skew_01,0.0004101051397203792,0.0018072953086626662
chroma_cqt_skew_07,0.00040815426811874886,0.00038594684634260507
chroma_cens_median_12,0.0003841511384077512,0.0009412746536807393
chroma_cens_kurtosis_07,0.0003829145734506378,0.0008692856749775628
chroma_stft_median_09,0.0003807791975381003,0.001257290782145357
chroma_cens_kurtosis_02,0.0003776866695677894,0.0010032375372655193
chroma_cqt_skew_10,0.00037003986191893603,0.001803440838722127
chroma_cens_min_01,0.0003670609592066332,0.00032206586338558483
chroma_cqt_median_03,0.00036471541231155593,0.0013343146472174178
spectral_rolloff_std_01,0.0003548356223315563,0.0015575698996736387
chroma_cqt_skew_09,0.00034720529774608376,0.0007403101796430915
mfcc_skew_07,0.0003454198507859274,0.0031076309793241982
mfcc_skew_17,0.00034269542388533635,0.0008087550579352439
chroma_cens_std_04,0.0003400356485901479,0.00018051061223016255
chroma_cqt_median_04,0.00033424985839595746,0.0023795301823999406
mfcc_skew_11,0.00033374163825919954,0.0007594872317483867
mfcc_kurtosis_03,0.0003322470192008931,0.0021992187604898327
chroma_cens_max_01,0.00032990186762571483,0.0009474082906857257
mfcc_median_19,0.000326905035279379,0.0009057022895380974
chroma_cens_std_01,0.0003184457450516265,0.0016830719979805
mfcc_median_18,0.0003040169415563287,0.002970620469334917
chroma_cqt_mean_09,0.0003016525265397363,0.0014075592614550012
